,course link,image_link,course_name,organistaion_name,Registration,time_left,hashtags,fee
0,https://unstop.com//creative-cultural-event/minimal-movie-poster-design-challenge-sardar-vallabhbhai-national-institute-of-technology-svnit--361465,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62adcca812137_minimal-movie-poster-design-challenge.png?d=340x195, Minimal Movie Poster Design Challenge ," Sardar Vallabhbhai National Institute of Technology (SVNIT), Surat ", 27  days left , 27  days left ,[' #cultural  #Open to All '],"4,500"
1,https://unstop.com//job/associate-sdet-i-dunzo-361428,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ad437d30fcb_sdet-i.jpg?d=340x195, Associate SDET - I , Dunzo , 20  days left , 20  days left ,[' #Jobs  #Engineering Students '],0
2,https://unstop.com//job/uiux-designer-ola-361362,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655478554.png?d=340x195, UI/UX Designer , OLA , 12  days left , 12  days left ,[' #Jobs  #Open to All '],0
3,https://unstop.com//creative-cultural-event/photophile-yaapt-361339,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ad8f025ae49_photophile.jpg?d=340x195, Photophile , Yaapt , 5  days left , 5  days left ,[' #cultural  #Open to All '],"5,000"
4,https://unstop.com//workshop/youth-2-business-youth-2-business-aiesec-361336,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655479402.png?d=340x195, Youth 2 Business  - Youth 2 Business , AIESEC , 5  days left , 5  days left ,[' #Conferences  #Open to All '],"15,000"
5,https://unstop.com//workshop/analytics-gurus-speaker-sessions-the-analytics-conclave-2022-shaheed-sukhdev-college-of-business-studies-sscbs--361335,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac8567ac43c_speaker-session.png?d=340x195, Analytics Gurus | Speaker Sessions  - The Analytics Conclave 2022 ," Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi ", 6  days left , 6  days left ,[' #Conferences  #Open to All '],0
6,https://unstop.com//workshop/electrical-engineering-program-online-information-session-university-of-washington-361323,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655469210.png?d=340x195, Electrical Engineering Program- Online Information Session , University of Washington , 4  days left , 4  days left ,[' #Conferences  #Engineering Students '],0
7,https://unstop.com//internship/marketing-internship-wwf-india-361320,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac79ed5716a_marketing-intern.png?d=340x195, Marketing Internship , WWF India , 19  days left , 19  days left ,[' #Internships  #Open to All '],0
8,https://unstop.com//job/consumer-goods-contractor-boston-consulting-group-bcg-361313,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac6cbad9e44_consumer-goods-contractor.jpg?d=340x195, Consumer Goods Contractor , Boston Consulting Group (BCG) , 19  days left , 19  days left ,[' #Jobs  #Open to All '],0
9,https://unstop.com//job/knowledge-collaboration-solutions-contractor-boston-consulting-group-bcg-361305,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac6a76879c8_knowledge-collaboration-solutions-contractor.jpg?d=340x195, Knowledge & Collaboration Solutions Contractor , Boston Consulting Group (BCG) , 19  days left , 19  days left ,[' #Jobs  #Open to All '],0
10,https://unstop.com//job/student-ambassador-data-driven-supply-chain-transformation-national-institute-of-industrial-engineering-nitie-mumbai-361296,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac82c01a5be_student-ambassador-data-driven-supply-chain-transformation.png?d=340x195, Student Ambassador - Data Driven Supply Chain Transformation ," National Institute of Industrial Engineering (NITIE), Mumbai ", 1 day left , 1 day left ,[' #Jobs  #Open to All '],0
11,https://unstop.com//internship/marketing-internship-skillovilla-technologies-private-limited-361288,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655470680.png?d=340x195, Marketing Internship , SkilloVilla Technologies Private Limited , 4  days left , 4  days left ,[' #Internships  #Engineering Students  #MBA Students  #Undergraduate  #Corporate '],0
12,https://unstop.com//job/computer-scientist-adobe-inc-361280,https://d8it4huxumps7.cloudfront.net/uploads/images/opportunity/mobile_banner/62ac50153f699_2022-university-graduate-computer-scientist.jpg?d=340x195, Computer Scientist , Adobe Inc. , 18  days left , 18  days left ,[' #Jobs  #Engineering Students '],0
13,https://unstop.com//job/software-engineering-specialist-general-electric-361276,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655458627.png?d=340x195, Software Engineering Specialist , General Electric , 12  days left , 12  days left ,[' #Jobs  #Engineering Students '],0
14,https://unstop.com//job/junior-research-associate-ipr-itc-limited-361273,https://d8it4huxumps7.cloudfront.net/lambda-pdfs/opportunity-bannerImages/1655464758.png?d=340x195, Junior Research Associate - IPR , ITC Limited , 19  days left , 19  days left ,[' #Jobs  #Engineering Students '],0
